Value,CPI
7.2,89.100
7.5,89.700
7.5,90.500
7.2,91.500
7.4,92.200
7.6,93.100
7.9,93.400
8.3,93.800
8.5,94.100
8.6,94.400
8.9,94.700
9.0,94.700
9.3,95.000
9.4,95.900
9.6,97.000
9.8,97.500
9.8,97.700
10.1,97.700
10.4,98.100
10.8,98.000
10.8,97.700
10.4,97.900
10.4,98.000
10.3,98.100
10.2,98.800
10.1,99.200
10.1,99.400
9.4,99.800
9.5,100.100
9.2,100.400
8.8,100.800
8.5,101.100
8.3,101.400
8.0,102.100
7.8,102.600
7.8,102.900
7.7,103.300
7.4,103.500
7.2,103.700
7.5,104.100
7.5,104.400
7.3,104.700
7.4,105.100
7.2,105.300
7.3,105.500
7.3,105.700
7.2,106.300
7.2,106.800
7.3,107.000
7.2,107.200
7.4,107.500
7.4,107.700
7.1,107.900
7.1,108.100
7.1,108.500
7.0,109.000
7.0,109.500
6.7,109.900
7.2,109.700
7.2,109.100
7.1,108.700
7.2,109.000
7.2,109.400
7.0,109.500
6.9,109.600
7.0,110.000
7.0,110.200
6.9,110.400
6.6,110.800
6.6,111.400
6.6,111.800
6.6,112.200
6.3,112.700
6.3,113.000
6.2,113.500
6.1,113.800
6.0,114.300
5.9,114.700
6.0,115.000
5.8,115.400
5.7,115.600
5.7,116.000
5.7,116.200
5.7,116.500
5.4,117.200
5.6,117.500
5.4,118.000
5.4,118.500
5.6,119.000
5.4,119.500
5.4,119.900
5.3,120.300
5.3,120.700
5.4,121.200
5.2,121.600
5.0,122.200
5.2,123.100
5.2,123.700
5.3,124.100
5.2,124.500
5.2,124.500
5.3,124.800
5.3,125.400
5.4,125.900
5.4,126.300
5.4,127.500
5.3,128.000
5.2,128.600
5.4,128.900
5.4,129.100
5.2,129.900
5.5,130.500
5.7,131.600
5.9,132.500
5.9,133.400
6.2,133.700
6.3,134.200
6.4,134.700
6.6,134.800
6.8,134.800
6.7,135.100
6.9,135.600
6.9,136.000
6.8,136.200
6.9,136.600
6.9,137.000
7.0,137.200
7.0,137.800
7.3,138.200
7.3,138.300
7.4,138.600
7.4,139.100
7.4,139.400
7.6,139.700
7.8,140.100
7.7,140.500
7.6,140.800
7.6,141.100
7.3,141.700
7.4,142.100
7.4,142.300
7.3,142.800
7.1,143.100
7.0,143.300
7.1,143.800
7.1,144.200
